Year,Month,Methane,NDBI,NDVI,Humidity,Waste,WindSpeed,LST
2014,6,357.5910272,0.262334354,0.357314738,0.02,7640.37073,3.241,29.314
2014,9,362.7672544,0.240434199,0.435670799,0.019,7750.96717,2.782,28.62778
2014,10,367.9434816,0.34987982,0.407324793,0.016,7861.56361,1.801,28.68894
2014,11,357.5910272,0.338317285,0.388839394,0.01,7640.37073,1.837,26.712
2014,12,356.7283227,0.277328772,0.262121488,0.007,7621.93799,2.308,22.68454
2015,1,377.4425947,0.276659963,0.355971901,0.007,8536.17356,2.485,22.18058
2015,2,377.904016,0.247352548,0.533951377,0.008,8546.60898,2.376,25.81106
2015,3,379.2882798,0.277751064,0.678811983,0.009,8577.91524,2.941,30.4532
2015,4,380.6725436,0.249323458,0.539061846,0.016,8609.2215,3.639,29.58066
2015,5,381.1339649,0.215718347,0.465829063,0.018,8619.65692,4.305,30.5025
2015,6,382.5182287,0.256419806,0.495852617,0.019,8650.96318,4.857,31.06
2015,8,404.6664494,0.195344795,0.404300138,0.02,9151.86334,3.408,31.75
2015,9,388.0552838,0.203901421,0.56927741,0.019,8776.18822,2.815,29.1875
2015,10,393.592339,0.284282221,0.54890303,0.016,8901.41326,1.685,27.91
2015,11,382.5182287,0.349423023,0.493364325,0.011,8650.96318,1.727,27.60294
2015,12,381.5953861,0.277432391,0.459055372,0.008,8630.09234,2.012,22.03666
2016,1,406.3689989,0.215879325,0.393113361,0.007,10220.9918,2.097,22.87
2016,2,406.8657825,0.187644633,0.623138567,0.009,10233.4869,2.27,26.99444
2016,3,408.3561334,0.214321662,0.642560606,0.012,10270.9722,2.714,30.016
2016,4,409.8464842,0.129592535,0.479010882,0.017,10308.4575,4.604,32.47888
2016,5,410.3432678,0.281569906,0.500856336,0.018,10320.9526,3.447,32.168
2016,6,411.8336187,0.268217942,0.537486639,0.019,10358.4379,3.242,30.09
2016,8,435.6792323,0.27499436,0.430013085,0.02,10958.2027,3.172,29.42334
2016,9,417.7950221,0.256501339,0.451611708,0.02,10508.3791,2.163,25.045
2016,10,423.7564255,0.249283766,0.468979339,0.016,10658.3203,2.058,28.44846
2016,11,411.8336187,0.366306382,0.472765289,0.011,10358.4379,2.081,26.281
2016,12,410.8400515,0.297736812,0.339365014,0.008,10333.4477,2.302,24.40384
2017,1,443.227242,0.294249335,0.370104408,0.006,11497.25176,2.484,23.448
2017,2,443.7690846,0.264689665,0.541482645,0.007,11511.30708,2.153,26.96
2017,3,445.3946124,0.2531877,0.633411157,0.012,11553.47304,2.748,29.34126
2017,4,447.0201401,0.136278074,0.541213499,0.017,11595.639,4.172,31.26384
2017,5,447.5619827,0.258994133,0.503903719,0.018,11609.69432,3.21,31.08648
2017,6,449.1875105,0.29417439,0.32484876,0.02,11651.86028,3.604,30.31
2017,8,475.195955,0.392558467,0.481801653,0.02,12326.51564,2.576,27.95
2017,9,455.6896217,0.299927636,0.506327961,0.02,11820.52412,2.08,30.09
2017,10,462.1917328,0.298916008,0.538446556,0.017,11989.18796,2.47,28.638
2017,11,449.1875105,0.336868728,0.488601791,0.011,11651.86028,1.917,27.003
2017,12,448.1038253,0.313029656,0.397500689,0.009,11623.74964,1.837,24.21714
2018,1,485.3649603,0.276557752,0.33062259,0.005,13011.56608,2.151,22.09316
